CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,crime_hour
PETTY THEFT,2025 Jan 27 01:00:00 AM,25-004680,THEFT,21Y,2500 FRUITVALE AV,Oakland,CA,1
PETTY THEFT,2025 Jan 27 01:00:00 AM,25-008641,THEFT,16Y,1100 EXCELSIOR AV,Oakland,CA,1
ROBBERY,2025 Jan 27 02:00:00 AM,25-004183,ROBBERY-FIREARM,"09X","00 MACARTHUR BLVD",Oakland,CA,2
ROBBERY,2025 Jan 27 02:00:00 AM,25-004183,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,"09X","00 MACARTHUR BLVD",Oakland,CA,2
PETTY THEFT,2025 Jan 27 03:00:00 AM,25-004355,THEFT,30X,7000 FAVOR ST,Oakland,CA,3
GRAND THEFT,2025 Jan 27 04:00:00 AM,25-901031,GRAND THEFT,"04X",1800 HARRISON ST,Oakland,CA,4
GRAND THEFT,2025 Jan 27 04:10:00 AM,25-900941,GRAND THEFT,"04X",1800 HARRISON ST,Oakland,CA,4
GRAND THEFT,2025 Jan 27 05:09:00 AM,25-905100,GRAND THEFT,13Y,7000 ELVERTON DR,Oakland,CA,5
PETTY THEFT,2025 Jan 27 07:15:00 AM,25-006116,THEFT,32X,1600 102ND AV,Oakland,CA,7
PETTY THEFT,2025 Jan 27 07:30:00 AM,25-004207,RECEIVE/ETC KNOWN STOLEN PROPERTY [$400 OR LESS],25X,CALAVARAS AV & MOUNTAIN BLVD,Oakland,CA,7
PETTY THEFT,2025 Jan 27 07:33:00 AM,25-902150,THEFT,31X,200 HEGENBERGER RD,Oakland,CA,7
PETTY THEFT,2025 Jan 27 08:00:00 AM,25-004326,THEFT,32X,1400 105TH AV,Oakland,CA,8
ROBBERY,2025 Jan 27 08:00:00 AM,25-004169,ROBBERY-FIREARM,23X,4200 FOOTHILL BLVD,Oakland,CA,8
GRAND THEFT,2025 Jan 27 08:15:00 AM,25-902151,GRAND THEFT,"04X",1700 CASTRO ST,Oakland,CA,8
PETTY THEFT,2025 Jan 27 08:15:00 AM,25-004304,THEFT,27X,1700 48TH AV,Oakland,CA,8
ROBBERY,2025 Jan 27 09:00:00 AM,25-004175,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",17Y,3100 BEAUMONT AV,Oakland,CA,9
PETTY THEFT,2025 Jan 27 09:30:00 AM,25-004179,THEFT,14X,200 BAY PL,Oakland,CA,9
PETTY THEFT,2025 Jan 27 10:30:00 AM,25-902164,THEFT,31Y,8400 SAN LEANDRO ST,Oakland,CA,10
PETTY THEFT,2025 Jan 27 10:35:00 AM,25-905099,THEFT,31Y,8400 SAN LEANDRO ST,Oakland,CA,10
PETTY THEFT,2025 Jan 27 11:18:00 AM,25-004195,THEFT,"03Y",400 7TH ST,Oakland,CA,11
PETTY THEFT,2025 Jan 27 11:57:00 AM,25-004206,THEFT,21Y,2000 FRUITVALE AV,Oakland,CA,11
ROBBERY,2025 Jan 27 01:10:00 PM,25-004225,ROBBERY-FIREARM,20X,2800 INTERNATIONAL BLVD,Oakland,CA,13
PETTY THEFT,2025 Jan 27 01:15:00 PM,25-004245,THEFT,18Y,1700 E 22ND ST,Oakland,CA,13
PETTY THEFT,2025 Jan 27 02:00:00 PM,25-004209,THEFT,"07X",1500 34TH ST,Oakland,CA,14
GRAND THEFT,2025 Jan 27 02:41:00 PM,25-004230,GRAND THEFT,"03Y",400 7TH ST,Oakland,CA,14
PETTY THEFT,2025 Jan 27 03:15:00 PM,25-004233,THEFT,16X,3500 LAKESHORE AV,Oakland,CA,15
GRAND THEFT,2025 Jan 27 03:35:00 PM,25-900958,GRAND THEFT,"08X",300 24TH ST,Oakland,CA,15
GRAND THEFT,2025 Jan 27 05:21:00 PM,25-004254,VANDALISM-$400+,"03X",300 9TH ST,Oakland,CA,17
GRAND THEFT,2025 Jan 27 05:21:00 PM,25-004254,GRAND THEFT,"03X",300 9TH ST,Oakland,CA,17
GRAND THEFT,2025 Jan 27 06:20:00 PM,25-900946,THEFT,"08X",100 GRAND AV,Oakland,CA,18
GRAND THEFT,2025 Jan 27 09:00:00 PM,25-004838,GRAND THEFT,31Y,100 98TH AV,Oakland,CA,21
ROBBERY,2025 Jan 27 09:15:00 PM,25-004280,ROBBERY-FIREARM,27Y,4700 INTERNATIONAL BLVD,Oakland,CA,21
PETTY THEFT,2025 Jan 27 10:10:00 PM,25-900947,THEFT,12X,4300 TELEGRAPH AV,Oakland,CA,22
ROBBERY,2025 Jan 27 11:30:00 PM,25-004166,ROBBERY-KNIFE OR CUTTING INSTRUMENT,"04X",1400 BROADWAY,Oakland,CA,23
PETTY THEFT,2025 Jan 28 02:00:00 AM,25-004516,THEFT,32X,9900 D ST,Oakland,CA,2
PETTY THEFT,2025 Jan 28 05:00:00 AM,25-004336,THEFT,35Y,9300 MOUNTAIN BLVD,Oakland,CA,5
PETTY THEFT,2025 Jan 28 07:10:00 AM,25-004399,THEFT,15X,200 E 18TH ST,Oakland,CA,7
PETTY THEFT,2025 Jan 28 07:30:00 AM,25-005069,THEFT,15X,800 CLEVELAND AV,Oakland,CA,7
PETTY THEFT,2025 Jan 28 08:30:00 AM,25-905235,THEFT,35X,3000 82ND AV,Oakland,CA,8
ROBBERY,2025 Jan 28 08:40:00 AM,25-004341,VEHICLE THEFT - AUTO,27Y,5700 INTERNATIONAL BLVD,Oakland,CA,8
ROBBERY,2025 Jan 28 08:40:00 AM,25-004331,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",12X,500 48TH ST,Oakland,CA,8
ROBBERY,2025 Jan 28 09:35:00 AM,25-004349,ROBBERY-FIREARM,"01X",3RD ST & FRANKLIN ST,Oakland,CA,9
PETTY THEFT,2025 Jan 28 09:48:00 AM,25-004345,THEFT,33X,900 84TH AV,Oakland,CA,9
GRAND THEFT,2025 Jan 28 11:10:00 AM,25-902126,GRAND THEFT,"01X",100 WASHINGTON ST,Oakland,CA,11
GRAND THEFT,2025 Jan 28 11:30:00 AM,25-900973,GRAND THEFT,15X,700 CLEVELAND AV,Oakland,CA,11
GRAND THEFT,2025 Jan 28 11:30:00 AM,25-004377,GRAND THEFT,"04X",2000 SAN PABLO AV,Oakland,CA,11
ROBBERY,2025 Jan 28 11:40:00 AM,25-004373,CARJACKING WITH FIREARM,77X,9400 & 9500 SUNNY SIDE ST,Oakland,CA,11
GRAND THEFT,2025 Jan 28 12:00:00 PM,25-902978,GRAND THEFT,"08X",400 29TH ST,Oakland,CA,12
GRAND THEFT,2025 Jan 28 12:20:00 PM,25-004385,GRAND THEFT,17X,1800 PARK BLVD,Oakland,CA,12
PETTY THEFT,2025 Jan 28 12:30:00 PM,25-004408,THEFT,23X,3500 E 12TH ST,Oakland,CA,12
PETTY THEFT,2025 Jan 28 12:50:00 PM,25-902128,THEFT,25X,4000 MACARTHUR BLVD,Oakland,CA,12
PETTY THEFT,2025 Jan 28 04:30:00 PM,25-004576,THEFT,22Y,4100 MIDVALE AV,Oakland,CA,16
PETTY THEFT,2025 Jan 28 04:45:00 PM,25-905240,THEFT,31Y,8400 SAN LEANDRO ST,Oakland,CA,16
PETTY THEFT,2025 Jan 28 05:00:00 PM,25-902414,THEFT,14Y,400 JEAN ST,Oakland,CA,17
PETTY THEFT,2025 Jan 28 05:45:00 PM,25-004421,THEFT,12X,CLARKE ST & 48TH ST,Oakland,CA,17
PETTY THEFT,2025 Jan 28 06:00:00 PM,25-004588,THEFT,22Y,3200 DELAWARE ST,Oakland,CA,18
PETTY THEFT,2025 Jan 28 06:00:00 PM,25-004640,THEFT,"06X",3300 MARKET ST,Oakland,CA,18
ROBBERY,2025 Jan 28 10:00:00 PM,25-004443,VANDALISM-$400+,18X,2000 23RD AV,Oakland,CA,22
ROBBERY,2025 Jan 28 10:00:00 PM,25-004443,ROBBERY-FIREARM,18X,2000 23RD AV,Oakland,CA,22
ROBBERY,2025 Jan 28 10:10:00 PM,25-004447,ROBBERY-FIREARM,35X,82ND AV & BANCROFT AV,Oakland,CA,22
ROBBERY,2025 Jan 28 10:10:00 PM,25-004449,CARJACKING WITH FIREARM,32Y,10700 MACARTHUR BLVD,Oakland,CA,22
GRAND THEFT,2025 Jan 28 11:00:00 PM,25-904006,GRAND THEFT,10X,900 ARLINGTON AV,Oakland,CA,23
PETTY THEFT,2025 Jan 29 12:00:00 AM,25-024252,THEFT,10X,900 61ST ST,Oakland,CA,0
GRAND THEFT,2025 Jan 29 12:00:00 AM,25-009991,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $400],"04X",1900 FRANKLIN ST,Oakland,CA,0
PETTY THEFT,2025 Jan 29 12:00:00 AM,25-004540,THEFT,"06X",700 26TH ST,Oakland,CA,0
PETTY THEFT,2025 Jan 29 12:00:00 AM,25-004786,THEFT,27Y,5300 FAIRFAX AV,Oakland,CA,0
GRAND THEFT,2025 Jan 29 01:10:00 AM,25-908260,GRAND THEFT,12X,4800 CLARKE ST,Oakland,CA,1
PETTY THEFT,2025 Jan 29 01:40:00 AM,25-004506,THEFT,27Y,5400 PRINCETON ST,Oakland,CA,1
ROBBERY,2025 Jan 29 02:44:00 AM,25-004466,CARJACKING - STRONGARM,19X,18TH & INTERNATIONAL BLVD,Oakland,CA,2
GRAND THEFT,2025 Jan 29 03:30:00 AM,25-901001,GRAND THEFT,25X,4100 REDWOOD RD,Oakland,CA,3
GRAND THEFT,2025 Jan 29 03:38:00 AM,25-913260,GRAND THEFT,25X,3600 MAGEE AV,Oakland,CA,3
PETTY THEFT,2025 Jan 29 07:00:00 AM,25-004563,THEFT,21Y,2900 FRUITVALE AV,Oakland,CA,7
GRAND THEFT,2025 Jan 29 07:04:00 AM,25-902162,GRAND THEFT,26X,600 HIGH ST,Oakland,CA,7
PETTY THEFT,2025 Jan 29 07:08:00 AM,25-004517,THEFT,25X,3400 35TH AV,Oakland,CA,7
GRAND THEFT,2025 Jan 29 07:15:00 AM,25-901004,GRAND THEFT,12X,4700 MANILA AV,Oakland,CA,7
PETTY THEFT,2025 Jan 29 07:30:00 AM,25-004585,THEFT,33X,9200 E ST,Oakland,CA,7
PETTY THEFT,2025 Jan 29 08:20:00 AM,25-904578,THEFT,20X,3000 E 9TH ST,Oakland,CA,8
GRAND THEFT,2025 Jan 29 08:35:00 AM,25-902163,GRAND THEFT,14X,300 GRAND AV,Oakland,CA,8
ROBBERY,2025 Jan 29 08:40:00 AM,25-004496,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","08X",23RD ST & TELEGRAPH AV,Oakland,CA,8
ROBBERY,2025 Jan 29 09:26:00 AM,25-004500,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",17Y,MACARTHUR BLVD & PARK BLVD,Oakland,CA,9
ROBBERY,2025 Jan 29 09:52:00 AM,25-004505,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",26X,HIGH ST & SAN LEANDRO ST,Oakland,CA,9
ROBBERY,2025 Jan 29 09:52:00 AM,25-004505,VANDALISM-$400+,26X,HIGH ST & SAN LEANDRO ST,Oakland,CA,9
ROBBERY,2025 Jan 29 11:30:00 AM,25-004520,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","03X",1000 HARRISON ST,Oakland,CA,11
ROBBERY,2025 Jan 29 11:52:00 AM,25-004618,EXTORTION,34X,1900 84TH AV,Oakland,CA,11
PETTY THEFT,2025 Jan 29 12:00:00 PM,25-004654,THEFT,32Y,10700 MACARTHUR BLVD,Oakland,CA,12
ROBBERY,2025 Jan 29 12:45:00 PM,25-004565,SC ROBBERY - FIREARM,32X,98TH AV & MEDFORD AV,Oakland,CA,12
PETTY THEFT,2025 Jan 29 02:11:00 PM,25-004577,THEFT,"09X",4000 PIEDMONT AV,Oakland,CA,14
ROBBERY,2025 Jan 29 02:15:00 PM,25-004537,ATTEMPTED ROBBERY-OTHER DANGEROUS WEAPON,"01X",CLAY ST & EMBARCADERO WEST,Oakland,CA,14
PETTY THEFT,2025 Jan 29 03:05:00 PM,25-901012,THEFT,26Y,1000 70TH AV,Oakland,CA,15
PETTY THEFT,2025 Jan 29 04:00:00 PM,25-004688,THEFT,"02X",1100 10TH ST,Oakland,CA,16
ROBBERY,2025 Jan 29 05:10:00 PM,25-004561,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",27X,1600 47TH AV,Oakland,CA,17
PETTY THEFT,2025 Jan 29 06:00:00 PM,25-004662,THEFT,32X,1200 104TH AV,Oakland,CA,18
GRAND THEFT,2025 Jan 29 11:30:00 PM,25-903581,GRAND THEFT,12X,4300 TELEGRAPH AV,Oakland,CA,23
PETTY THEFT,2025 Jan 30 12:00:00 AM,25-012701,THEFT,"04X",300 14TH ST,Oakland,CA,0
PETTY THEFT,2025 Jan 30 12:00:00 AM,25-004788,THEFT,21Y,3000 CHAMPION ST,Oakland,CA,0
PETTY THEFT,2025 Jan 30 12:00:00 AM,25-004792,THEFT,29X,2900 60TH AV,Oakland,CA,0
PETTY THEFT,2025 Jan 30 12:00:00 AM,25-004854,THEFT:PERSONAL PROPERTY,"08X",3400 PIEDMONT AV,Oakland,CA,0
PETTY THEFT,2025 Jan 30 12:00:00 AM,25-004698,THEFT,22Y,2800 MACARTHUR BLVD,Oakland,CA,0
PETTY THEFT,2025 Jan 30 12:00:00 AM,25-004704,THEFT,"06X",800 34TH ST,Oakland,CA,0
PETTY THEFT,2025 Jan 30 12:00:00 AM,25-004721,THEFT,19X,200 E 15TH ST,Oakland,CA,0
ROBBERY,2025 Jan 30 12:30:00 AM,25-004619,ROBBERY-FIREARM,31Z,9800 PIPPIN ST,Oakland,CA,0
GRAND THEFT,2025 Jan 30 04:05:00 AM,25-904008,GRAND THEFT,"04X",1500 ALICE ST,Oakland,CA,4
PETTY THEFT,2025 Jan 30 07:00:00 AM,25-004637,THEFT,28X,3300 WYMAN ST,Oakland,CA,7
PETTY THEFT,2025 Jan 30 07:00:00 AM,25-004636,THEFT,28X,3300 WYMAN ST,Oakland,CA,7
PETTY THEFT,2025 Jan 30 08:00:00 AM,25-004711,THEFT,"02Y",900 WILLOW ST,Oakland,CA,8
PETTY THEFT,2025 Jan 30 08:45:00 AM,25-004702,THEFT,25Y,600 CANYON OAKS DR,Oakland,CA,8
ROBBERY,2025 Jan 30 08:50:00 AM,25-004641,VANDALISM-$400+,19X,1400 INTERNATIONAL BLVD,Oakland,CA,8
ROBBERY,2025 Jan 30 08:50:00 AM,25-004641,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1400 INTERNATIONAL BLVD,Oakland,CA,8
PETTY THEFT,2025 Jan 30 09:00:00 AM,25-004657,THEFT,21Y,2000 FRUITVALE AV,Oakland,CA,9
GRAND THEFT,2025 Jan 30 09:00:00 AM,25-005455,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,"07X",1100 24TH ST,Oakland,CA,9
ROBBERY,2025 Jan 30 09:19:00 AM,25-004645,BURGLARY-AUTO,21Y,3300 FOOTHILL BLVD,Oakland,CA,9
ROBBERY,2025 Jan 30 09:19:00 AM,25-004645,ATTEMPTED ROBBERY-STRONG-ARM,21Y,3300 FOOTHILL BLVD,Oakland,CA,9
ROBBERY,2025 Jan 30 09:45:00 AM,25-004649,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,5TH AV & E 8TH ST,Oakland,CA,9
ROBBERY,2025 Jan 30 09:45:00 AM,25-004649,VANDALISM-$400+,19X,5TH AV & E 8TH ST,Oakland,CA,9
PETTY THEFT,2025 Jan 30 10:00:00 AM,25-005124,THEFT,10X,1000 ARLINGTON AV,Oakland,CA,10
PETTY THEFT,2025 Jan 30 11:59:00 AM,25-007513,THEFT,25X,3500 CALIFORNIA ST,Oakland,CA,11
GRAND THEFT,2025 Jan 30 12:00:00 PM,25-004403,GRAND THEFT FROM PERSON,32X,1400 105TH AV,Oakland,CA,12
PETTY THEFT,2025 Jan 30 01:13:00 PM,25-904004,THEFT,77X,INTERNATIONAL BOULEVARD,Oakland,CA,13
PETTY THEFT,2025 Jan 30 01:30:00 PM,25-004691,THEFT,26Y,800 69TH AV,Oakland,CA,13
GRAND THEFT,2025 Jan 30 04:10:00 PM,25-904002,GRAND THEFT,35Y,15000 SKYLINE BLVD,Oakland,CA,16
GRAND THEFT,2025 Jan 30 04:30:00 PM,25-904000,GRAND THEFT,77X,HARRISON ST,Oakland,CA,16
PETTY THEFT,2025 Jan 30 04:54:00 PM,25-004804,TRESPASS:OCCUPY PROPERTY W/O CONSENT,24Y,2500 HUMBOLDT AV,Oakland,CA,16
PETTY THEFT,2025 Jan 30 04:54:00 PM,25-004804,THEFT,24Y,2500 HUMBOLDT AV,Oakland,CA,16
PETTY THEFT,2025 Jan 30 05:00:00 PM,25-005607,THEFT,77X,1600 KIRKHAM WY,Oakland,CA,17
PETTY THEFT,2025 Jan 30 05:57:00 PM,25-903997,THEFT,32X,10800 INTERNATIONAL BLVD,Oakland,CA,17
PETTY THEFT,2025 Jan 30 06:05:00 PM,25-004727,THEFT,"09X",5100 BROADWAY,Oakland,CA,18
PETTY THEFT,2025 Jan 30 06:20:00 PM,25-004730,VANDALISM,24Y,3300 HIGH ST,Oakland,CA,18
PETTY THEFT,2025 Jan 30 06:20:00 PM,25-004730,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,24Y,3300 HIGH ST,Oakland,CA,18
ROBBERY,2025 Jan 30 07:45:00 PM,25-004737,CARJACKING WITH FIREARM,23X,1800 38TH AV,Oakland,CA,19
ROBBERY,2025 Jan 30 09:25:00 PM,25-004739,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","09X",41ST ST & PIEDMONT AV,Oakland,CA,21
ROBBERY,2025 Jan 30 11:09:00 PM,25-004603,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","04X",1800 HARRISON ST,Oakland,CA,23
GRAND THEFT,2025 Jan 30 11:30:00 PM,25-904188,GRAND THEFT,"01X",200 2ND ST,Oakland,CA,23
GRAND THEFT,2025 Jan 31 12:00:00 AM,25-908259,GRAND THEFT,"03Y",500 9TH ST,Oakland,CA,0
PETTY THEFT,2025 Jan 31 12:00:00 AM,25-005913,THEFT,15X,LAKESHORE AV & 1ST AV,Oakland,CA,0
PETTY THEFT,2025 Jan 31 12:00:00 AM,25-004976,THEFT,"05X",700 21ST ST,Oakland,CA,0
PETTY THEFT,2025 Jan 31 12:00:00 AM,25-007028,THEFT,30Y,8000 IDLEWOOD ST,Oakland,CA,0
PETTY THEFT,2025 Jan 31 12:00:00 AM,25-005058,THEFT,32X,1400 105TH AV,Oakland,CA,0
GRAND THEFT,2025 Jan 31 12:20:00 AM,25-904216,GRAND THEFT,22X,3900 LINCOLN AV,Oakland,CA,0
GRAND THEFT,2025 Jan 31 02:00:00 AM,25-901728,GRAND THEFT,"03Y",1300 JEFFERSON ST,Oakland,CA,2
ROBBERY,2025 Jan 31 03:05:00 AM,25-004771,ROBBERY-FIREARM,21X,1800 SAUSAL ST,Oakland,CA,3
PETTY THEFT,2025 Jan 31 06:50:00 AM,25-004857,THEFT,28X,2700 BEST AV,Oakland,CA,6
GRAND THEFT,2025 Jan 31 07:40:00 AM,25-907605,GRAND THEFT,12Y,5300 BRYANT AV,Oakland,CA,7
PETTY THEFT,2025 Jan 31 10:00:00 AM,25-004836,THEFT,"06X",700 34TH ST,Oakland,CA,10
GRAND THEFT,2025 Jan 31 12:00:00 PM,25-904157,GRAND THEFT,"06X",900 BROCKHURST ST,Oakland,CA,12
PETTY THEFT,2025 Jan 31 12:00:00 PM,25-004955,THEFT,27X,5400 BROOKDALE AV,Oakland,CA,12
GRAND THEFT,2025 Jan 31 12:14:00 PM,25-904179,GRAND THEFT,"09X",5100 BROADWAY,Oakland,CA,12
GRAND THEFT,2025 Jan 31 12:40:00 PM,25-004823,GRAND THEFT:DOG,19X,1800 EMBARCADERO COVE,Oakland,CA,12
GRAND THEFT,2025 Jan 31 12:50:00 PM,25-004832,GRAND THEFT,"09X",4200 PIEDMONT AV,Oakland,CA,12
ROBBERY,2025 Jan 31 01:20:00 PM,25-004827,ROBBERY-FIREARM,25X,4200 MACARTHUR BLVD,Oakland,CA,13
GRAND THEFT,2025 Jan 31 01:45:00 PM,25-903890,GRAND THEFT,19X,1200 23RD AV,Oakland,CA,13
ROBBERY,2025 Jan 31 02:44:00 PM,25-004918,ATTEMPTED ROBBERY-STRONG-ARM,"03X",500 FALLON ST,Oakland,CA,14
GRAND THEFT,2025 Jan 31 04:00:00 PM,25-901095,GRAND THEFT,"06X",3100 WEST ST,Oakland,CA,16
PETTY THEFT,2025 Jan 31 05:00:00 PM,25-005287,THEFT,22Y,3400 LAUREL AV,Oakland,CA,17
ROBBERY,2025 Jan 31 06:55:00 PM,25-004682,ROBBERY-FIREARM,14Y,3500 GRAND AV,Oakland,CA,18
ROBBERY,2025 Jan 31 08:30:00 PM,25-004867,ROBBERY-FIREARM,22X,2400 MACARTHUR BLVD,Oakland,CA,20
ROBBERY,2025 Jan 31 08:58:00 PM,25-004870,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,19TH AV & SOLANO WY,Oakland,CA,20
ROBBERY,2025 Jan 31 08:58:00 PM,25-004870,CARJACKING - STRONGARM,19X,19TH AV & SOLANO WY,Oakland,CA,20
ROBBERY,2025 Jan 31 09:00:00 PM,25-005183,CARJACKING - STRONGARM,24X,4000 LYON AV,Oakland,CA,21
GRAND THEFT,2025 Jan 31 10:00:00 PM,25-004575,THEFT,34X,84TH AV & HOLLY ST,Oakland,CA,22
ROBBERY,2025 Jan 31 10:00:00 PM,25-005010,FORCE/ADW-KNIFE:GBI,30X,1800 66TH AV,Oakland,CA,22
ROBBERY,2025 Jan 31 10:00:00 PM,25-005010,ROBBERY-KNIFE OR CUTTING INSTRUMENT,30X,1800 66TH AV,Oakland,CA,22
GRAND THEFT,2025 Jan 31 10:00:00 PM,25-004575,GRAND THEFT:FIREARM/ANIMAL/ETC,34X,84TH AV & HOLLY ST,Oakland,CA,22
PETTY THEFT,2025 Feb 01 12:00:00 AM,25-023635,THEFT,30Y,7700 GARFIELD AV,Oakland,CA,0
PETTY THEFT,2025 Feb 01 12:00:00 AM,25-007644,THEFT,77X,UNKNOWN,Oakland,CA,0
PETTY THEFT,2025 Feb 01 12:00:00 AM,25-004959,THEFT,"02X",1200 WEST ST,Oakland,CA,0
PETTY THEFT,2025 Feb 01 12:00:00 AM,25-006227,THEFT,27X,1800 VICKSBURG AV,Oakland,CA,0
PETTY THEFT,2025 Feb 01 01:00:00 AM,25-004987,THEFT,19X,1500 2ND AV,Oakland,CA,1
PETTY THEFT,2025 Feb 01 03:00:00 AM,25-004950,THEFT,32X,1300 100TH AV,Oakland,CA,3
GRAND THEFT,2025 Feb 01 04:00:00 AM,25-901070,GRAND THEFT,"05X",1000 16TH ST,Oakland,CA,4
PETTY THEFT,2025 Feb 01 05:00:00 AM,25-904240,THEFT,14X,400 PERKINS ST,Oakland,CA,5
PETTY THEFT,2025 Feb 01 07:00:00 AM,25-007062,THEFT,30X,2300 MAYWOOD AV,Oakland,CA,7
PETTY THEFT,2025 Feb 01 07:15:00 AM,25-004917,THEFT,26X,400 HIGH ST,Oakland,CA,7
PETTY THEFT,2025 Feb 01 08:00:00 AM,25-005545,THEFT,18X,1700 19TH AV,Oakland,CA,8
PETTY THEFT,2025 Feb 01 08:30:00 AM,25-004972,THEFT,13Z,6700 HEARTWOOD DR,Oakland,CA,8
PETTY THEFT,2025 Feb 01 09:00:00 AM,25-005233,THEFT,27Y,6100 E 17TH ST,Oakland,CA,9
GRAND THEFT,2025 Feb 01 09:00:00 AM,25-008251,GRAND THEFT,10Y,800 61ST ST,Oakland,CA,9
PETTY THEFT,2025 Feb 01 09:00:00 AM,25-006111,THEFT,27Y,2100 66TH AV,Oakland,CA,9
PETTY THEFT,2025 Feb 01 10:00:00 AM,26-005025,THEFT,15X,700 HILLGIRT CIR,Oakland,CA,10
PETTY THEFT,2025 Feb 01 10:00:00 AM,25-004949,THEFT,"03Y",1200 CLAY ST,Oakland,CA,10
PETTY THEFT,2025 Feb 01 11:38:00 AM,25-004957,SC THEFT,77X,3800 E 18TH STREET,Oakland,CA,11
PETTY THEFT,2025 Feb 01 02:20:00 PM,25-903656,THEFT,22Y,2900 MACARTHUR BLVD,Oakland,CA,14
PETTY THEFT,2025 Feb 01 04:30:00 PM,25-005441,THEFT,12X,300 49TH ST,Oakland,CA,16
PETTY THEFT,2025 Feb 01 05:00:00 PM,25-005095,THEFT,33X,9300 B ST,Oakland,CA,17
GRAND THEFT,2025 Feb 01 05:21:00 PM,25-004975,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,"04X",15TH ST & FRANKLIN ST,Oakland,CA,17
PETTY THEFT,2025 Feb 01 05:30:00 PM,25-005091,THEFT,16Y,3800 WOODRUFF AV,Oakland,CA,17
ROBBERY,2025 Feb 01 06:27:00 PM,25-004988,ROBBERY-FIREARM,19X,10TH AV & INTERNATIONAL BLVD,Oakland,CA,18
ROBBERY,2025 Feb 01 07:10:00 PM,25-004991,ROBBERY/INHABITED DWELLING - KNIFE OR CUTTING INSTRUMENT,24X,3700 NEVIL ST,Oakland,CA,19
PETTY THEFT,2025 Feb 01 08:00:00 PM,25-005099,THEFT,"07X",3200 FILBERT ST,Oakland,CA,20
GRAND THEFT,2025 Feb 01 09:00:00 PM,25-904221,GRAND THEFT,"02Y",1100 CAMPBELL ST,Oakland,CA,21
GRAND THEFT,2025 Feb 01 09:35:00 PM,25-901717,GRAND THEFT,20X,2500 INTERNATIONAL BLVD,Oakland,CA,21
PETTY THEFT,2025 Feb 01 10:30:00 PM,25-010478,THEFT,27X,4900 CONGRESS AV,Oakland,CA,22
ROBBERY,2025 Feb 01 10:31:00 PM,25-005009,ROBBERY-KNIFE OR CUTTING INSTRUMENT,32X,1800 101ST AV,Oakland,CA,22
PETTY THEFT,2025 Feb 01 11:00:00 PM,25-901328,THEFT,10X,5400 ADELINE ST,Oakland,CA,23
PETTY THEFT,2025 Feb 01 11:30:00 PM,25-005428,THEFT,33X,1300 81ST AV,Oakland,CA,23
PETTY THEFT,2025 Feb 02 12:00:00 AM,25-013316,THEFT,99X,800 33RD ST,Oakland,CA,0
GRAND THEFT,2025 Feb 02 12:00:00 AM,25-904223,GRAND THEFT,77X,CAMPBELL ST,Oakland,CA,0
PETTY THEFT,2025 Feb 02 12:00:00 AM,25-005066,THEFT,"03Y",400 7TH ST,Oakland,CA,0
PETTY THEFT,2025 Feb 02 01:00:00 AM,25-904211,THEFT,13Z,1700 ALHAMBRA LN,Oakland,CA,1
PETTY THEFT,2025 Feb 02 01:30:00 AM,25-005198,THEFT,24Y,3600 SUTER ST,Oakland,CA,1
GRAND THEFT,2025 Feb 02 01:57:00 AM,25-005130,GRAND THEFT:FIREARM/ANIMAL/ETC,35X,8800 MACARTHUR BLVD,Oakland,CA,1
GRAND THEFT,2025 Feb 02 02:00:00 AM,25-904233,GRAND THEFT,22Y,11800 SKYLINE BLVD,Oakland,CA,2
GRAND THEFT,2025 Feb 02 02:35:00 AM,25-901289,GRAND THEFT,27X,2100 VICKSBURG AV,Oakland,CA,2
GRAND THEFT,2025 Feb 02 07:30:00 AM,25-904207,GRAND THEFT,17X,700 E 20TH ST,Oakland,CA,7
PETTY THEFT,2025 Feb 02 08:10:00 AM,25-904212,THEFT,31Y,600 HEGENBERGER RD,Oakland,CA,8
GRAND THEFT,2025 Feb 02 08:30:00 AM,25-905733,GRAND THEFT,13Z,2200 MOUNTAIN BLVD,Oakland,CA,8
