CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,crime_hour
ROBBERY,2025 Jan 03 10:11:00 AM,25-000407,ROBBERY-FIREARM,19X,1400 8TH AV,Oakland,CA,10
PETTY THEFT,2025 Jan 03 10:45:00 AM,25-000414,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,24Y,3300 HIGH ST,Oakland,CA,10
PETTY THEFT,2025 Jan 03 11:45:00 AM,25-000844,THEFT,10Y,600 46TH ST,Oakland,CA,11
PETTY THEFT,2025 Jan 03 12:00:00 PM,25-000962,THEFT:PERSONAL PROPERTY,16Y,1400 ALLMAN ST,Oakland,CA,12
PETTY THEFT,2025 Jan 03 12:00:00 PM,25-002136,THEFT,"08X",2300 WEBSTER ST,Oakland,CA,12
PETTY THEFT,2025 Jan 03 12:50:00 PM,25-000917,THEFT,"04X",2100 TELEGRAPH AV,Oakland,CA,12
GRAND THEFT,2025 Jan 03 01:26:00 PM,25-000449,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,30Y,2600 73RD AV,Oakland,CA,13
ROBBERY,2025 Jan 03 02:10:00 PM,25-000697,ACCESSORY,31Y,8400 SAN LEANDRO ST,Oakland,CA,14
ROBBERY,2025 Jan 03 02:10:00 PM,25-000697,ROBBERY-FIREARM,31Y,8400 SAN LEANDRO ST,Oakland,CA,14
ROBBERY,2025 Jan 03 02:10:00 PM,25-000697,THREAT CRIME:INT:TERRORIZE,31Y,8400 SAN LEANDRO ST,Oakland,CA,14
ROBBERY,2025 Jan 03 02:20:00 PM,25-000462,CARJACKING WITH FIREARM,31X,700 66TH AV,Oakland,CA,14
ROBBERY,2025 Jan 03 02:20:00 PM,25-000462,ROBBERY-FIREARM,31X,700 66TH AV,Oakland,CA,14
ROBBERY,2025 Jan 03 02:48:00 PM,25-000465,ROBBERY-FIREARM,31Y,EDES AV & DOUGLAS AV,Oakland,CA,14
PETTY THEFT,2025 Jan 03 03:50:00 PM,25-900222,THEFT,"03X",200 13TH ST,Oakland,CA,15
GRAND THEFT,2025 Jan 03 04:00:00 PM,25-000557,GRAND THEFT,26X,4900 COLISEUM WY,Oakland,CA,16
PETTY THEFT,2025 Jan 03 04:00:00 PM,25-000889,THEFT,14X,300 VERNON ST,Oakland,CA,16
ROBBERY,2025 Jan 03 05:15:00 PM,25-000485,ROBBERY-FIREARM,23X,3200 FARNAM ST,Oakland,CA,17
PETTY THEFT,2025 Jan 03 06:25:00 PM,25-913231,THEFT,"05X",2000 MARKET ST,Oakland,CA,18
GRAND THEFT,2025 Jan 03 09:00:00 PM,25-908192,GRAND THEFT,17Y,2100 8TH AV,Oakland,CA,21
GRAND THEFT,2025 Jan 03 10:00:00 PM,25-900146,GRAND THEFT,10X,1000 57TH ST,Oakland,CA,22
GRAND THEFT,2025 Jan 03 10:00:00 PM,25-901788,GRAND THEFT,10Y,800 59TH ST,Oakland,CA,22
GRAND THEFT,2025 Jan 03 10:00:00 PM,25-901796,GRAND THEFT,22Y,3300 BURDECK DR,Oakland,CA,22
ROBBERY,2025 Jan 03 11:10:00 PM,25-000511,ATTEMPTED ROBBERY-FIREARM,21X,3200 E23RD ST,Oakland,CA,23
ROBBERY,2025 Jan 03 11:33:00 PM,25-000515,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,"07X",2800 FILBERT ST,Oakland,CA,23
ROBBERY,2025 Jan 03 11:33:00 PM,25-000515,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","07X",2800 FILBERT ST,Oakland,CA,23
ROBBERY,2025 Jan 03 11:33:00 PM,25-000515,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,"07X",2800 FILBERT ST,Oakland,CA,23
GRAND THEFT,2025 Jan 04 12:00:00 AM,25-900175,GRAND THEFT,10Y,800 AILEEN ST,Oakland,CA,0
PETTY THEFT,2025 Jan 04 12:00:00 AM,25-900975,THEFT,13Z,6900 SAYRE DR,Oakland,CA,0
PETTY THEFT,2025 Jan 04 12:00:00 AM,25-001292,THEFT,"02Y",300 HENRY ST,Oakland,CA,0
ROBBERY,2025 Jan 04 12:00:00 AM,25-000521,CARJACKING WITH FIREARM,35X,82ND AV & BANCROFT AV,Oakland,CA,0
PETTY THEFT,2025 Jan 04 01:23:00 AM,25-900130,THEFT,"07X",800 ATHENS AV,Oakland,CA,1
GRAND THEFT,2025 Jan 04 01:59:00 AM,25-901809,GRAND THEFT,10Y,4100 LUSK ST,Oakland,CA,1
ROBBERY,2025 Jan 04 02:57:00 AM,25-000533,BATTERY,21Y,2000 FRUITVALE AV,Oakland,CA,2
ROBBERY,2025 Jan 04 02:57:00 AM,25-000533,ATTEMPTED ROBBERY-KNIFE,21Y,2000 FRUITVALE AV,Oakland,CA,2
GRAND THEFT,2025 Jan 04 03:00:00 AM,25-901786,GRAND THEFT,10Y,900 41ST ST,Oakland,CA,3
ROBBERY,2025 Jan 04 03:00:00 AM,25-000682,CARJACKING WITH FIREARM,26X,1000 45TH AV,Oakland,CA,3
GRAND THEFT,2025 Jan 04 03:35:00 AM,25-901787,GRAND THEFT,15X,300 ATHOL AV,Oakland,CA,3
GRAND THEFT,2025 Jan 04 06:00:00 AM,25-902843,GRAND THEFT,29X,2600 60TH AV,Oakland,CA,6
GRAND THEFT,2025 Jan 04 08:00:00 AM,25-900126,GRAND THEFT,30X,2500 67TH AV,Oakland,CA,8
PETTY THEFT,2025 Jan 04 10:14:00 AM,25-000563,THEFT,29X,66TH AV & MACARTHUR BLVD,Oakland,CA,10
PETTY THEFT,2025 Jan 04 11:56:00 AM,25-900157,THEFT,"09X",5100 BROADWAY,Oakland,CA,11
PETTY THEFT,2025 Jan 04 12:00:00 PM,25-000721,THEFT,"02Y",1400 5TH ST,Oakland,CA,12
PETTY THEFT,2025 Jan 04 01:07:00 PM,25-000603,THEFT,21Y,2500 FRUITVALE AV,Oakland,CA,13
PETTY THEFT,2025 Jan 04 02:00:00 PM,25-002280,PETTY THEFT:$50-,14X,200 LENOX AV,Oakland,CA,14
PETTY THEFT,2025 Jan 04 02:29:00 PM,25-000586,THEFT,12X,4900 MANILA AV,Oakland,CA,14
PETTY THEFT,2025 Jan 04 02:37:00 PM,25-000587,THEFT,"08X",2300 WEBSTER ST,Oakland,CA,14
PETTY THEFT,2025 Jan 04 02:49:00 PM,25-000588,THEFT,"03Y",400 7TH ST,Oakland,CA,14
GRAND THEFT,2025 Jan 04 05:20:00 PM,25-901797,GRAND THEFT,"03Y",1300 BROADWAY,Oakland,CA,17
ROBBERY,2025 Jan 04 06:30:00 PM,25-000733,ROBBERY-FIREARM,"03X",10TH ST & JACKSON ST,Oakland,CA,18
PETTY THEFT,2025 Jan 04 06:30:00 PM,25-001488,THEFT,27X,1400 46TH AV,Oakland,CA,18
PETTY THEFT,2025 Jan 04 07:00:00 PM,25-000773,THEFT,31Y,300 CLARA ST,Oakland,CA,19
GRAND THEFT,2025 Jan 04 08:30:00 PM,25-900153,GRAND THEFT,12Y,5400 COLLEGE AV,Oakland,CA,20
PETTY THEFT,2025 Jan 04 09:00:00 PM,25-000772,THEFT,35X,3300 SARAZEN AV,Oakland,CA,21
PETTY THEFT,2025 Jan 04 09:00:00 PM,25-000932,THEFT,23X,1800 33RD AV,Oakland,CA,21
ROBBERY,2025 Jan 04 09:13:00 PM,25-000630,BATTERY,11X,600 61ST ST,Oakland,CA,21
ROBBERY,2025 Jan 04 09:13:00 PM,25-000630,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",11X,600 61ST ST,Oakland,CA,21
ROBBERY,2025 Jan 04 09:39:00 PM,25-000632,CONSPIRACY:COMMIT CRIME,33X,900 84TH AV,Oakland,CA,21
ROBBERY,2025 Jan 04 09:39:00 PM,25-000632,BATTERY:SERIOUS BODILY INJ,33X,900 84TH AV,Oakland,CA,21
ROBBERY,2025 Jan 04 09:39:00 PM,25-000632,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",33X,900 84TH AV,Oakland,CA,21
ROBBERY,2025 Jan 04 09:39:00 PM,25-000632,"FORCE/ADW-HANDS, FISTS, FEET:GBI",33X,900 84TH AV,Oakland,CA,21
GRAND THEFT,2025 Jan 05 12:00:00 AM,25-900171,GRAND THEFT,"06X",800 31ST ST,Oakland,CA,0
PETTY THEFT,2025 Jan 05 12:00:00 AM,25-001064,THEFT,19X,600 E 12TH ST,Oakland,CA,0
GRAND THEFT,2025 Jan 05 01:00:00 AM,25-900213,GRAND THEFT,25Y,8100 HANSOM DR,Oakland,CA,1
ROBBERY,2025 Jan 05 01:30:00 AM,25-000752,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,90TH AV & MACARTHUR BLVD,Oakland,CA,1
ROBBERY,2025 Jan 05 01:30:00 AM,25-000752,CARJACKING WITH FIREARM,35X,90TH AV & MACARTHUR BLVD,Oakland,CA,1
ROBBERY,2025 Jan 05 01:30:00 AM,25-000752,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,35X,90TH AV & MACARTHUR BLVD,Oakland,CA,1
GRAND THEFT,2025 Jan 05 01:55:00 AM,25-900225,GRAND THEFT,"01X",200 BROADWAY,Oakland,CA,1
PETTY THEFT,2025 Jan 05 03:00:00 AM,25-905696,MAIL/ETC THEFT/ETC,28X,3400 WYMAN ST,Oakland,CA,3
GRAND THEFT,2025 Jan 05 05:00:00 AM,25-900164,GRAND THEFT,"06X",700 31ST ST,Oakland,CA,5
GRAND THEFT,2025 Jan 05 10:25:00 AM,25-900163,GRAND THEFT,12Y,300 CLIFTON ST,Oakland,CA,10
PETTY THEFT,2025 Jan 05 11:50:00 AM,25-900986,THEFT,32X,9800 WALNUT ST,Oakland,CA,11
GRAND THEFT,2025 Jan 05 12:25:00 PM,25-901630,GRAND THEFT,"07X",2700 SAN PABLO AV,Oakland,CA,12
